,Dose,IL-1,IL-2,IL-4,IL-7,IL-9,IL-10,IL-14,IL-17,IL-19,IL-24,IL-29,IL-36,Stock
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
10^0,1,1,1,1,0,0,1,1,1,1,0,1,0,1
10^0,1,1,1,1,0,0,1,1,1,1,0,1,0,1
10^0,1,1,0,1,0,0,1,1,1,0,0,1,0,1
10^0,1,1,0,1,0,0,1,1,1,0,0,1,0,1
10^0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
10^0,1,1,0,1,0,0,1,1,0,0,,1,0,1
10^0,1,1,0,0,0,0,1,1,0,0,,1,,1
10^0,1,1,0,0,0,0,0,1,0,0,,1,,1
10^0,1,1,0,0,0,0,0,1,0,0,,1,,1
10^0,1,1,0,0,0,0,0,1,0,0,,1,,1
10^0,1,1,0,0,0,0,0,1,0,0,,0,,1
10^0,1,1,0,0,0,0,0,1,0,0,,0,,1
10^0,1,1,0,0,0,,0,1,0,0,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,0,0,,0,1,0,,,0,,1
10^0,1,1,0,,0,,0,1,0,,,0,,1
10^0,1,1,0,,0,,0,1,,,,0,,1
10^0,1,1,0,,0,,0,1,,,,0,,1
10^0,1,1,0,,0,,0,1,,,,0,,0
10^0,1,1,0,,0,,0,1,,,,0,,0
10^0,1,1,0,,0,,0,1,,,,,,0
10^0,1,1,0,,0,,0,1,,,,,,0
10^0,1,1,0,,0,,0,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,0,,0,,,1,,,,,,0
10^0,1,1,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,0
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,0,,,,,,1,,,,,,
10^0,1,,,,,,,1,,,,,,
10^0,1,,,,,,,1,,,,,,
10^0,1,,,,,,,1,,,,,,
10^0,1,,,,,,,1,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^0,1,,,,,,,0,,,,,,
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,1,1,0,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^-1,0.1,1,1,1,1,1,1,1,1,1,0,1,0,1
10^-1,0.1,1,1,1,1,1,1,1,0,1,0,1,0,1
10^-1,0.1,1,1,1,1,1,1,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,1,0,1,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,1,0,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,0,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,0,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,,1,0,0,0,0,0,1
10^-1,0.1,0,1,1,1,0,,1,0,0,0,0,0,0
10^-1,0.1,0,0,1,1,0,,1,0,0,0,0,0,0
10^-1,0.1,0,0,1,1,0,,1,0,0,0,0,0,0
10^-1,0.1,0,0,1,0,0,,1,0,0,0,0,0,0
10^-1,0.1,0,0,1,0,0,,0,0,0,0,0,0,0
10^-1,0.1,0,0,0,0,0,,0,0,0,0,0,0,0
10^-1,0.1,0,0,0,0,0,,0,0,0,0,0,0,0
10^-1,0.1,0,0,0,0,0,,0,0,0,0,0,0,0
10^-1,0.1,0,0,0,0,0,,0,0,0,0,0,0,0
10^-1,0.1,0,0,0,0,0,,0,0,0,,0,,0
10^-1,0.1,0,0,0,0,0,,0,0,0,,0,,0
10^-1,0.1,0,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,0,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,0,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,0,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,,0,0,0,0,,0,,0,,0,,0
10^-1,0.1,,0,0,0,0,,0,,,,0,,
10^-1,0.1,,0,,0,,,0,,,,0,,
10^-1,0.1,,0,,0,,,0,,,,0,,
10^-1,0.1,,0,,0,,,0,,,,0,,
10^-1,0.1,,0,,0,,,0,,,,0,,
10^-1,0.1,,0,,0,,,0,,,,0,,
10^-1,0.1,,,,0,,,0,,,,0,,
10^-1,0.1,,,,0,,,0,,,,0,,
10^-1,0.1,,,,0,,,0,,,,0,,
10^-1,0.1,,,,0,,,0,,,,0,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,0,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-1,0.1,,,,,,,0,,,,,,
10^-2,0.01,1,1,1,1,1,1,1,0,1,1,1,1,1
10^-2,0.01,1,1,1,1,1,1,1,0,1,1,1,1,1
10^-2,0.01,1,1,1,1,1,1,1,0,1,1,1,1,1
10^-2,0.01,1,1,1,1,1,1,1,0,0,1,1,1,1
10^-2,0.01,1,0,1,1,1,0,1,0,0,0,1,1,1
10^-2,0.01,1,0,1,1,1,0,1,0,0,0,1,0,1
10^-2,0.01,1,0,0,1,1,0,1,0,0,0,1,0,1
10^-2,0.01,1,0,0,1,1,0,1,0,0,0,1,0,0
10^-2,0.01,1,0,0,1,0,0,1,0,0,0,1,0,0
10^-2,0.01,1,0,0,1,0,0,1,0,0,0,0,0,0
10^-2,0.01,1,0,0,1,0,0,1,0,0,0,0,0,0
10^-2,0.01,1,0,0,1,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,1,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
10^-2,0.01,0,0,0,0,0,0,0,0,0,0,0,,0
